SN,ANLN1,ANLN2,AUFNR,AUGBL,AUGDT,BELNR,BSCHL,BTYPE,BUKRS,BUZEI,DMBTR,EBELN,EBELP,ETYPE,GJAHR,HBKID,HKONT,KOART,KOKRS,KOSTL,KTOSL,KUNNR,LIFNR,MATNR,MWSKZ,POSN2,PRCTR,SGTXT,SHKZG,UMSKZ,VBEL2,VBELN,VORGN,WERKS,XANET,XAUTO,XINVE,XOPVW,XSAUF,XSERG,XSKST,XSPRO,XUMAN,XUMSW,XZAHL
647,            ,    ,            ,          ,0,100000105,40,  ,1000,9,711.86,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,ORGA30    20130より(%)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
648,            ,    ,            ,          ,0,100000105,40,  ,1000,11,355.94,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,ORGA30    20130より(%)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
649,            ,    ,            ,          ,0,100000105,40,  ,1000,13,813.56,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,ORGA30    20130より(%)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
650,            ,    ,            ,          ,0,100000105,40,  ,1000,15,4881.35,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,ORGA30    20130より(%)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
651,            ,    ,            ,          ,0,100000105,40,  ,1000,17,2440.68,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,ORGA30    20130より(%)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
652,            ,    ,            ,          ,0,100000105,40,  ,1000,19,135.59,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
653,            ,    ,            ,          ,0,100000105,40,  ,1000,21,406.78,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
654,            ,    ,            ,          ,0,100000105,40,  ,1000,23,271.19,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
655,            ,    ,            ,          ,0,100000105,40,  ,1000,25,186.44,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
656,            ,    ,            ,          ,0,100000105,40,  ,1000,27,559.32,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
657,            ,    ,            ,          ,0,100000105,40,  ,1000,29,372.88,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
658,            ,    ,            ,          ,0,100000105,40,  ,1000,31,5932.2,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
659,            ,    ,            ,          ,0,100000105,40,  ,1000,33,17796.61,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
660,            ,    ,            ,          ,0,100000105,40,  ,1000,35,11864.41,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,IT-30     20230(PC数)配賦                            ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
661,            ,    ,            ,          ,0,100000105,40,  ,1000,37,13333.33,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
662,            ,    ,            ,          ,0,100000105,40,  ,1000,39,6666.67,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
663,            ,    ,            ,          ,0,100000105,40,  ,1000,41,66666.67,          ,0,   ,2022,     ,499998,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
664,            ,    ,            ,          ,0,100000105,40,  ,1000,43,33333.33,          ,0,   ,2022,     ,499998,S,1000,30230,   ,          ,          ,                  ,  ,0,1600,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
665,            ,    ,            ,          ,0,100000105,40,  ,1545,2,1045.45,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
666,            ,    ,            ,          ,0,100000105,40,  ,1545,3,104.55,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
667,            ,    ,            ,          ,0,100000105,50,  ,1000,2,593.22,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
668,            ,    ,            ,          ,0,100000105,50,  ,1000,4,2458.35,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001868/1                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
669,            ,    ,            ,          ,0,100000105,50,  ,1000,4,3559.32,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
670,            ,    ,            ,          ,0,100000105,50,  ,1000,6,1779.66,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
671,            ,    ,            ,          ,0,100000105,50,  ,1000,8,118.64,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
672,            ,    ,            ,          ,0,100000105,50,  ,1000,10,711.86,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
673,            ,    ,            ,          ,0,100000105,50,  ,1000,12,355.94,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
674,            ,    ,            ,          ,0,100000105,50,  ,1000,14,813.56,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
675,            ,    ,            ,          ,0,100000105,50,  ,1000,16,4881.35,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
676,            ,    ,            ,          ,0,100000105,50,  ,1000,18,2440.68,          ,0,   ,2022,     ,499998,S,1000,20130,   ,          ,          ,                  ,  ,0,1402,ORGA30    20130より(%)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
677,            ,    ,            ,          ,0,100000105,50,  ,1000,20,135.59,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
678,            ,    ,            ,          ,0,100000105,50,  ,1000,22,406.78,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
679,            ,    ,            ,          ,0,100000105,50,  ,1000,24,271.19,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
680,            ,    ,            ,          ,0,100000105,50,  ,1000,26,186.44,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
681,            ,    ,            ,          ,0,100000105,50,  ,1000,28,559.32,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
682,            ,    ,            ,          ,0,100000105,50,  ,1000,30,372.88,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
683,            ,    ,            ,          ,0,100000105,50,  ,1000,32,5932.2,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
684,            ,    ,            ,          ,0,100000105,50,  ,1000,34,17796.61,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
685,            ,    ,            ,          ,0,100000105,50,  ,1000,36,11864.41,          ,0,   ,2022,     ,499998,S,1000,20230,   ,          ,          ,                  ,  ,0,1400,IT-30     20230(PC数)配賦                            ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
686,            ,    ,            ,          ,0,100000105,50,  ,1000,38,13333.33,          ,0,   ,2022,     ,499998,S,1000,20330,   ,          ,          ,                  ,  ,0,1400,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
687,            ,    ,            ,          ,0,100000105,50,  ,1000,40,6666.67,          ,0,   ,2022,     ,499998,S,1000,20330,   ,          ,          ,                  ,  ,0,1400,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
688,            ,    ,            ,          ,0,100000105,50,  ,1000,42,66666.67,          ,0,   ,2022,     ,499998,S,1000,20330,   ,          ,          ,                  ,  ,0,1400,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
689,            ,    ,            ,          ,0,100000105,50,  ,1000,44,33333.33,          ,0,   ,2022,     ,499998,S,1000,20330,   ,          ,          ,                  ,  ,0,1400,CAR30NEW  20330(走行距離(km)）配賦NEW                    ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
690,            ,    ,            ,          ,0,100000105,93,  ,1000,2,5788.71,          ,0,   ,2023,     ,281500,S,1000,          ,PRD,          ,          ,Z02-1F3           ,  ,0,1010,OIT 70001868/1                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,
691,            ,    ,            ,          ,0,100000106,40,  ,1000,1,100,          ,0,   ,2022,     ,479900,S,1000,1000,   ,          ,          ,                  ,V0,0,1402,旅費交通費計上                                           ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
692,            ,    ,            ,          ,0,100000106,40,  ,1000,3,153.65,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001868/2                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
693,            ,    ,            ,          ,0,100000106,40,  ,1545,2,600,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
694,            ,    ,            ,          ,0,100000106,40,  ,1545,3,60,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
695,            ,    ,            ,          ,0,100000106,50,  ,1000,2,100,          ,0,   ,2022,     ,156050,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,旅費交通費計上                                           ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
696,            ,    ,            ,          ,0,100000106,50,  ,1000,4,153.65,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001868/2                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
697,            ,    ,            ,          ,0,100000106,93,  ,1000,2,799.29,          ,0,   ,2023,     ,281500,S,1000,          ,PRD,          ,          ,Z02-1F4           ,  ,0,1010,OIT 70001868/2                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,
698,            ,    ,            ,          ,0,100000107,40,  ,1000,1,100,          ,0,   ,2022,     ,479900,S,1000,40130,   ,          ,          ,                  ,V0,0,1600,旅費交通費計上                                           ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
699,            ,    ,            ,          ,0,100000107,40,  ,1545,2,500,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
700,            ,    ,            ,          ,0,100000107,40,  ,1545,3,50,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
701,            ,    ,            ,          ,0,100000107,50,  ,1000,1,600,          ,0,   ,2023,     ,499998,S,1000,Z4232     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
702,            ,    ,            ,          ,0,100000108,40,  ,1545,2,2136.36,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
703,            ,    ,            ,          ,0,100000108,40,  ,1545,3,213.64,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
704,            ,    ,            ,          ,0,100000108,50,  ,1000,1,100,          ,0,   ,2022,     ,479900,S,1000,40130,   ,          ,          ,                  ,V0,0,1600,旅費交通費計上                                           ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,
705,            ,    ,            ,          ,0,100000108,50,  ,1000,1,1200,          ,0,   ,2023,     ,499998,S,1000,Z4232     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
706,            ,    ,            ,          ,0,100000109,40,  ,1000,1,1000,          ,0,   ,2022,     ,100106,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
707,            ,    ,            ,          ,0,100000109,40,  ,1545,2,800,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
708,            ,    ,            ,          ,0,100000109,40,  ,1545,3,80,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
709,            ,    ,            ,          ,0,100000109,50,  ,1000,1,800,          ,0,   ,2023,     ,499998,S,1000,Z4233     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
710,            ,    ,            ,          ,0,100000109,50,  ,1000,2,1000,          ,0,   ,2022,     ,113130,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
711,            ,    ,            ,          ,0,100000110,40,  ,1000,1,10000,          ,0,   ,2022,     ,430000,S,1000,10130,   ,          ,          ,                  ,  ,0,1402,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
712,            ,    ,            ,          ,0,100000110,40,  ,1545,2,1227.27,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
713,            ,    ,            ,          ,0,100000110,40,  ,1545,3,122.73,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
714,            ,    ,            ,          ,0,100000110,50,  ,1000,2,12,          ,0,   ,2023,     ,499999,S,1000,          ,   ,          ,          ,                  ,  ,0,9999,作業計画                                              ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
715,            ,    ,            ,          ,0,100000110,50,  ,1000,2,10000,          ,0,   ,2022,     ,111000,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
716,            ,    ,            ,          ,0,100000111,40,  ,1000,2,10000,          ,0,   ,2022,     ,111000,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,X
717,            ,    ,            ,          ,0,100000111,40,  ,1545,2,300,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Gastos de servicio                                ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
718,            ,    ,            ,          ,0,100000111,40,  ,1545,3,30,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
719,            ,    ,            ,          ,0,100000111,50,  ,1000,1,10000,          ,0,   ,2022,     ,430000,S,1000,10130,   ,          ,          ,                  ,  ,0,1402,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,
720,            ,    ,            ,          ,0,100000111,50,  ,1000,2,600,          ,0,   ,2023,     ,499998,S,1000,4130,   ,          ,          ,                  ,  ,0,1400,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
721,            ,    ,            ,          ,0,100000112,40,  ,1000,1,10000,          ,0,   ,2022,     ,430000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
722,            ,    ,            ,          ,0,100000112,40,  ,1000,2,8508.35,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/1                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
723,            ,    ,            ,          ,0,100000112,40,  ,1545,1,11000,          ,0,   ,2022,     ,11002002,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 1                                       ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
724,            ,    ,            ,          ,0,100000112,50,  ,1000,1,8508.35,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/1                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
725,            ,    ,            ,          ,0,100000112,50,  ,1000,2,10000,          ,0,   ,2022,     ,111000,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
726,            ,    ,            ,          ,0,100000112,50,  ,1545,2,11000,          ,0,   ,2022,     ,24000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 1                                       ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
727,            ,    ,            ,          ,0,100000113,40,  ,1000,1,250,          ,0,   ,2022,     ,431000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
728,            ,    ,            ,          ,0,100000113,40,  ,1000,2,703.65,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/2                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
729,            ,    ,            ,          ,0,100000113,40,  ,1000,3,200,          ,0,   ,2022,     ,432000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
730,            ,    ,            ,          ,0,100000113,40,  ,1000,5,51.25,          ,0,   ,2022,     ,446000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
731,            ,    ,            ,          ,0,100000113,40,  ,1545,1,2200,          ,0,   ,2022,     ,11002002,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 2                                       ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
732,            ,    ,            ,          ,0,100000113,50,  ,1000,1,703.65,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/2                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
733,            ,    ,            ,          ,0,100000113,50,  ,1545,2,2200,          ,0,   ,2022,     ,24000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 2                                       ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
734,            ,    ,            ,          ,0,100000114,40,  ,1545,1,3300,          ,0,   ,2022,     ,11002002,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 3                                       ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
735,            ,    ,            ,          ,0,100000114,50,  ,1000,1,250,          ,0,   ,2022,     ,431000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
736,            ,    ,            ,          ,0,100000114,50,  ,1000,1,800,          ,0,   ,2023,     ,499998,S,1000,Z4233     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
737,            ,    ,            ,          ,0,100000114,50,  ,1000,3,200,          ,0,   ,2022,     ,432000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
738,            ,    ,            ,          ,0,100000114,50,  ,1000,5,51.25,          ,0,   ,2022,     ,446000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
739,            ,    ,            ,          ,0,100000114,50,  ,1545,2,3300,          ,0,   ,2022,     ,24000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 3                                       ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
740,            ,    ,            ,          ,0,100000115,40,  ,1000,2,10000,          ,0,   ,2022,     ,111000,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,X
741,            ,    ,            ,          ,0,100000115,40,  ,1000,3,8508.35,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/1                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
742,            ,    ,            ,          ,0,100000115,40,  ,1545,1,5500,          ,0,   ,2022,     ,11002002,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 4                                       ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
743,            ,    ,            ,          ,0,100000115,50,  ,1000,1,10000,          ,0,   ,2022,     ,430000,S,1000,30130,   ,          ,          ,                  ,  ,0,1600,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,
744,            ,    ,            ,          ,0,100000115,50,  ,1000,4,8508.35,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/1                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
745,            ,    ,            ,          ,0,100000115,50,  ,1545,2,5500,          ,0,   ,2022,     ,24000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 4                                       ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
746,            ,    ,            ,          ,0,100000115,83,  ,1000,2,11.29,          ,0,   ,2023,     ,231500,S,1000,          ,PRD,          ,          ,Z02-1F5           ,  ,0,1010,OIT 70001869/1                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
747,            ,    ,            ,          ,0,100000116,40,  ,1000,1,8000,          ,0,   ,2022,     ,473120,S,1000,10130,   ,          ,          ,                  ,V0,0,1402,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
748,            ,    ,            ,          ,0,100000116,40,  ,1000,2,15000,          ,0,   ,2022,     ,476100,S,1000,20230,   ,          ,          ,                  ,V0,0,1400,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
749,            ,    ,            ,          ,0,100000116,40,  ,1000,3,703.65,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/2                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
750,            ,    ,            ,          ,0,100000116,40,  ,1545,1,7700,          ,0,   ,2022,     ,11002002,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 5                                       ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
751,            ,    ,            ,          ,0,100000116,50,  ,1000,3,23000,          ,0,   ,2022,     ,111000,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
752,            ,    ,            ,          ,0,100000116,50,  ,1000,4,703.65,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/2                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,X
753,            ,    ,            ,          ,0,100000116,50,  ,1545,2,7700,          ,0,   ,2022,     ,24000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provision 5                                       ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
754,            ,    ,            ,          ,0,100000116,93,  ,1000,2,39249.29,          ,0,   ,2023,     ,281500,S,1000,          ,PRD,          ,          ,Z02-1F6           ,  ,0,1010,OIT 70001869/2                                    ,H, ,          ,          ,KOAE,1100, , , , , , , , , , ,
755,            ,    ,            ,          ,0,100000117,40,  ,1000,1,2666.67,          ,0,   ,2022,     ,473120,S,1000,40130,   ,          ,          ,                  ,  ,0,1600,TELEPHONE1電話代1                                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
756,            ,    ,            ,          ,0,100000117,40,  ,1000,3,5333.33,          ,0,   ,2022,     ,473120,S,1000,40230,   ,          ,          ,                  ,  ,0,1600,TELEPHONE1電話代1                                    ,S, ,          ,          ,COFI,    , , , , , , , , , , ,
757,            ,    ,            ,          ,0,100000117,40,  ,1000,4,8508.35,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,OIT 70001869/1                                    ,S, ,          ,          ,KOAE,1100, , , , , , , , , , ,
